lat,long,lake,subbasin
41.8893,-83.3874,ER,0
41.8983,-83.3877,ER,0
41.8985,-83.3755,ER,0
41.8896,-83.3631,ER,0
41.8893,-83.3874,ER,0
41.8983,-83.3877,ER,0
41.8985,-83.3755,ER,0
41.8894,-83.3753,ER,0
41.8896,-83.3631,ER,0
41.8898,-83.3510,ER,0
41.8899,-83.3389,ER,0
41.8990,-83.3391,ER,0
41.9080,-83.3393,ER,0
41.9171,-83.3395,ER,0
41.9172,-83.3274,ER,0
41.9263,-83.3276,ER,0
41.9353,-83.3278,ER,0
41.9355,-83.3157,ER,0
41.9445,-83.3159,ER,0
41.9447,-83.3038,ER,0
41.9448,-83.2916,ER,0
41.9358,-83.2914,ER,0
41.9359,-83.2792,ER,0
41.9361,-83.2671,ER,0
41.9451,-83.2673,ER,0
41.9542,-83.2675,ER,0
41.9632,-83.2677,ER,0
41.9723,-83.2680,ER,0
41.9724,-83.2558,ER,0
41.9815,-83.2560,ER,0
41.9816,-83.2439,ER,0
41.9818,-83.2317,ER,0
41.9908,-83.2319,ER,0
41.9910,-83.2198,ER,0
41.9911,-83.2076,ER,0
42.0002,-83.2078,ER,0
42.0092,-83.2080,ER,0
42.0182,-83.2082,ER,0
42.0273,-83.2084,ER,0
42.0363,-83.2086,ER,0
42.0453,-83.2088,ER,0
42.0455,-83.1967,ER,0
42.0545,-83.1969,ER,0
42.0636,-83.1971,ER,0
42.0726,-83.1973,ER,0
42.0724,-83.2095,ER,0
42.0815,-83.2097,ER,0
42.0816,-83.1975,ER,0
42.0907,-83.1977,ER,0
42.0997,-83.1979,ER,0
42.1088,-83.1981,ER,0
42.1178,-83.1983,ER,0
42.1179,-83.1861,ER,0
42.1089,-83.1859,ER,0
42.0999,-83.1857,ER,0
42.1000,-83.1736,ER,0
42.0910,-83.1733,ER,0
42.0911,-83.1612,ER,0
42.1002,-83.1614,ER,0
42.1003,-83.1492,ER,0
42.1094,-83.1494,ER,0
42.1184,-83.1496,ER,0
42.1274,-83.1498,ER,0
42.1365,-83.1500,ER,0
42.1455,-83.1502,ER,0
42.1457,-83.1380,ER,0
42.1547,-83.1382,ER,0
42.1637,-83.1384,ER,0
42.1636,-83.1506,ER,0
42.1726,-83.1508,ER,0
42.1817,-83.1510,ER,0
42.1815,-83.1632,ER,0
42.1725,-83.1630,ER,0
42.1634,-83.1628,ER,0
42.1544,-83.1626,ER,0
42.1542,-83.1748,ER,0
42.1452,-83.1746,ER,0
42.1362,-83.1744,ER,0
42.1271,-83.1742,ER,0
42.1181,-83.1740,ER,0
42.1179,-83.1861,ER,0
42.1270,-83.1864,ER,0
42.1360,-83.1866,ER,0
42.1451,-83.1868,ER,0
42.1541,-83.1870,ER,0
42.1542,-83.1748,ER,0
42.1633,-83.1750,ER,0
42.1723,-83.1752,ER,0
42.1814,-83.1754,ER,0
42.1815,-83.1632,ER,0
42.1905,-83.1634,ER,0
42.1996,-83.1636,ER,0
42.1997,-83.1514,ER,0
42.2088,-83.1516,ER,0
42.2178,-83.1518,ER,0
42.2268,-83.1520,ER,0
42.2359,-83.1522,ER,0
42.2449,-83.1524,ER,0
42.2451,-83.1402,ER,0
42.2452,-83.1280,ER,0
42.2542,-83.1282,ER,0
42.2633,-83.1284,ER,0
42.2723,-83.1286,ER,0
42.2725,-83.1164,ER,0
42.2815,-83.1166,ER,0
42.2905,-83.1168,ER,0
42.2907,-83.1046,ER,0
42.2997,-83.1048,ER,0
42.2999,-83.0925,ER,0
42.3089,-83.0927,ER,0
42.3090,-83.0805,ER,0
42.3181,-83.0807,ER,0
42.3182,-83.0685,ER,0
42.3184,-83.0562,ER,0
42.3274,-83.0564,ER,0
42.3275,-83.0442,ER,0
42.3277,-83.0320,ER,0
42.3367,-83.0322,ER,0
42.3369,-83.0199,ER,0
42.3370,-83.0077,ER,0
42.3460,-83.0079,ER,0
42.3462,-82.9957,ER,0
42.3552,-82.9959,ER,0
42.3553,-82.9836,ER,0
42.3555,-82.9714,ER,0
42.3556,-82.9592,ER,0
42.3557,-82.9469,ER,0
42.3558,-82.9347,ER,0
42.3468,-82.9345,ER,0
42.3378,-82.9344,ER,0
42.3379,-82.9221,ER,0
42.3289,-82.9220,ER,0
42.3287,-82.9342,ER,0
42.3376,-82.9466,ER,0
42.3379,-82.9221,ER,0
