lat,long,subbasin
45.5647,-81.7616,0a
45.5738,-81.7616,0a
45.5738,-81.7487,0a
45.5828,-81.7487,0a
45.5918,-81.7487,0a
45.5918,-81.7358,0a
45.6009,-81.7358,0a
45.6008,-81.7229,0a
45.6099,-81.7228,0a
45.6099,-81.7099,0a
45.6189,-81.7099,0a
45.6279,-81.7099,0a
45.6279,-81.697,0a
45.6369,-81.697,0a
45.6369,-81.6841,0a
45.646,-81.6841,0a
45.655,-81.684,0a
45.655,-81.6711,0a
45.664,-81.6711,0a
45.664,-81.6582,0a
45.673,-81.6582,0a
45.673,-81.6452,0a
45.682,-81.6452,0a
45.682,-81.6323,0a
45.691,-81.6323,0a
45.7001,-81.6322,0a
45.7001,-81.6452,0a
45.7091,-81.6451,0a
45.7181,-81.6451,0a
45.7181,-81.6322,0a
45.7272,-81.6322,0a
45.7271,-81.6192,0a
45.7271,-81.6063,0a
45.7361,-81.6063,0a
45.7361,-81.5933,0a
45.7451,-81.5933,0a
45.7542,-81.5933,0a
45.7542,-81.5803,0a
45.7632,-81.5803,0a
45.7722,-81.5803,0a
45.7722,-81.5673,0a
45.7812,-81.5673,0a
45.7902,-81.5672,0a
45.7993,-81.5672,0a
45.8083,-81.5672,0a
45.8173,-81.5671,0a
45.8174,-81.5801,0a
45.8083,-81.5801,0a
45.8083,-81.5931,0a
45.7993,-81.5931,0a
45.7993,-81.6061,0a
45.7994,-81.619,0a
45.7994,-81.632,0a
45.7994,-81.6449,0a
45.7994,-81.6579,0a
45.7994,-81.6708,0a
45.7994,-81.6838,0a
45.7995,-81.6967,0a
45.8085,-81.6967,0a
45.8175,-81.6967,0a
45.8175,-81.6837,0a
45.8175,-81.6708,0a
45.8265,-81.6708,0a
45.8265,-81.6578,0a
45.8355,-81.6578,0a
45.8355,-81.6448,0a
45.8445,-81.6448,0a
45.8536,-81.6448,0a
45.8626,-81.6447,0a
45.8716,-81.6447,0a
45.8716,-81.6318,0a
45.8806,-81.6317,0a
45.8897,-81.6317,0a
45.8987,-81.6317,0a
45.9077,-81.6317,0a
45.9077,-81.6446,0a
45.9078,-81.6576,0a
45.9078,-81.6706,0a
45.8987,-81.6706,0a
45.8988,-81.6836,0a
45.8897,-81.6836,0a
45.8897,-81.6966,0a
45.8807,-81.6966,0a
45.8807,-81.7095,0a
45.8717,-81.7096,0a
45.8627,-81.7096,0a
45.8627,-81.7225,0a
45.8536,-81.7225,0a
45.8446,-81.7226,0a
45.8356,-81.7226,0a
45.8356,-81.7355,0a
45.8266,-81.7355,0a
45.8175,-81.7355,0a
45.8175,-81.7485,0a
45.8085,-81.7485,0a
45.8085,-81.7615,0a
45.7995,-81.7615,0a
45.7905,-81.7615,0a
45.7905,-81.7744,0a
45.7814,-81.7744,0a
45.7724,-81.7744,0a
45.7634,-81.7744,0a
45.7634,-81.7615,0a
45.7543,-81.7615,0a
45.7453,-81.7615,0a
45.7363,-81.7615,0a
45.7363,-81.7744,0a
45.7363,-81.7874,0a
45.7453,-81.7874,0a
45.7543,-81.7874,0a
45.7543,-81.8003,0a
45.7634,-81.8003,0a
45.7634,-81.8132,0a
45.7724,-81.8133,0a
45.7814,-81.8133,0a
45.7814,-81.8262,0a
45.7905,-81.8262,0a
45.7995,-81.8262,0a
45.8085,-81.8262,0a
45.8175,-81.8262,0a
45.8266,-81.8262,0a
45.8266,-81.8133,0a
45.8356,-81.8133,0a
45.8446,-81.8133,0a
45.8446,-81.8003,0a
45.8537,-81.8003,0a
45.8627,-81.8003,0a
45.8717,-81.8003,0a
45.8807,-81.8003,0a
45.8807,-81.8133,0a
45.8807,-81.8263,0a
45.8898,-81.8263,0a
45.8898,-81.8392,0a
45.8898,-81.8522,0a
45.8897,-81.8652,0a
45.8897,-81.8782,0a
45.8897,-81.8911,0a
45.8988,-81.8911,0a
45.9078,-81.8912,0a
45.9078,-81.8782,0a
45.9168,-81.8782,0a
45.9259,-81.8782,0a
45.9349,-81.8782,0a
45.9439,-81.8782,0a
45.9439,-81.8653,0a
45.9529,-81.8653,0a
45.9529,-81.8783,0a
45.962,-81.8783,0a
45.962,-81.8913,0a
45.971,-81.8913,0a
45.98,-81.8913,0a
45.989,-81.8913,0a
45.989,-81.9043,0a
45.989,-81.9173,0a
45.989,-81.9303,0a
45.989,-81.9433,0a
45.989,-81.9563,0a
45.9889,-81.9693,0a
45.9799,-81.9692,0a
45.9799,-81.9822,0a
45.9799,-81.9952,0a
45.9708,-81.9952,0a
45.9708,-82.0082,0a
45.9708,-82.0212,0a
45.9708,-82.0342,0a
45.9617,-82.0341,0a
45.9617,-82.0471,0a
45.9527,-82.0471,0a
45.9527,-82.0601,0a
45.9436,-82.06,0a
45.9436,-82.073,0a
45.9346,-82.0729,0a
45.9345,-82.0859,0a
45.9255,-82.0859,0a
45.9255,-82.0989,0a
45.9254,-82.1118,0a
45.9164,-82.1118,0a
45.9074,-82.1117,0a
45.9074,-82.0988,0a
45.8984,-82.0987,0a
45.8894,-82.0987,0a
45.8893,-82.1116,0a
45.8803,-82.1116,0a
45.8713,-82.1115,0a
45.8712,-82.1245,0a
45.8622,-82.1244,0a
45.8532,-82.1244,0a
45.8441,-82.1243,0a
45.8351,-82.1243,0a
45.8351,-82.1372,0a
45.8441,-82.1373,0a
45.8441,-82.1503,0a
45.8531,-82.1503,0a
45.8621,-82.1504,0a
45.8711,-82.1504,0a
45.8802,-82.1505,0a
45.8801,-82.1635,0a
45.8892,-82.1635,0a
45.8891,-82.1765,0a
45.8981,-82.1765,0a
45.9072,-82.1766,0a
45.9071,-82.1896,0a
45.9162,-82.1897,0a
45.9161,-82.2026,0a
45.9251,-82.2027,0a
45.9342,-82.2028,0a
45.9432,-82.2028,0a
45.9432,-82.2158,0a
45.9341,-82.2157,0a
45.9341,-82.2287,0a
45.925,-82.2287,0a
45.925,-82.2416,0a
45.916,-82.2416,0a
45.9159,-82.2545,0a
45.9249,-82.2546,0a
45.9249,-82.2676,0a
45.9339,-82.2677,0a
45.9429,-82.2677,0a
45.952,-82.2678,0a
45.961,-82.2679,0a
45.97,-82.268,0a
45.9791,-82.2681,0a
45.9881,-82.2681,0a
45.9971,-82.2682,0a
45.9971,-82.2812,0a
45.997,-82.2942,0a
45.988,-82.2941,0a
45.9789,-82.294,0a
45.9789,-82.307,0a
45.9788,-82.32,0a
45.9788,-82.333,0a
45.9787,-82.346,0a
45.9786,-82.359,0a
45.9696,-82.3589,0a
45.9696,-82.3719,0a
45.9695,-82.3849,0a
45.9694,-82.3979,0a
45.9693,-82.4109,0a
45.9603,-82.4108,0a
45.9602,-82.4237,0a
45.9512,-82.4236,0a
45.9422,-82.4235,0a
45.9421,-82.4365,0a
45.9331,-82.4364,0a
45.9241,-82.4363,0a
45.924,-82.4493,0a
45.933,-82.4494,0a
45.942,-82.4495,0a
45.942,-82.4625,0a
45.951,-82.4626,0a
45.9509,-82.4756,0a
45.9419,-82.4755,0a
45.9418,-82.4885,0a
45.9328,-82.4883,0a
45.9238,-82.4882,0a
45.9147,-82.4881,0a
45.9147,-82.5011,0a
45.9146,-82.5141,0a
45.9145,-82.527,0a
45.9144,-82.54,0a
45.9054,-82.5399,0a
45.9053,-82.5529,0a
45.9052,-82.5658,0a
45.9142,-82.566,0a
45.9143,-82.553,0a
45.9233,-82.5531,0a
45.9324,-82.5532,0a
45.9414,-82.5534,0a
45.9504,-82.5535,0a
45.9595,-82.5536,0a
45.9594,-82.5666,0a
45.9593,-82.5796,0a
45.9683,-82.5797,0a
45.9682,-82.5927,0a
45.9681,-82.6057,0a
45.968,-82.6187,0a
45.9679,-82.6317,0a
45.9589,-82.6315,0a
45.9588,-82.6445,0a
45.9587,-82.6575,0a
45.9586,-82.6705,0a
45.9585,-82.6835,0a
45.9584,-82.6965,0a
45.9494,-82.6963,0a
45.9493,-82.7093,0a
45.9403,-82.7092,0a
45.9312,-82.709,0a
45.9311,-82.722,0a
45.931,-82.735,0a
45.922,-82.7348,0a
45.913,-82.7347,0a
45.9131,-82.7217,0a
45.9132,-82.7087,0a
45.9133,-82.6957,0a
45.9043,-82.6956,0a
45.8952,-82.6954,0a
45.8953,-82.6825,0a
45.8954,-82.6695,0a
45.8955,-82.6565,0a
45.8956,-82.6436,0a
45.8957,-82.6306,0a
45.8958,-82.6176,0a
45.8959,-82.6046,0a
45.9049,-82.6048,0a
45.905,-82.5918,0a
45.9051,-82.5788,0a
45.9052,-82.5658,0a
45.8962,-82.5657,0a
45.8871,-82.5656,0a
45.8871,-82.5786,0a
45.878,-82.5784,0a
45.8781,-82.5655,0a
45.8782,-82.5525,0a
45.8692,-82.5524,0a
45.8693,-82.5394,0a
45.8694,-82.5264,0a
45.8603,-82.5263,0a
45.8602,-82.5393,0a
45.8512,-82.5392,0a
45.8513,-82.5262,0a
45.8514,-82.5132,0a
45.8604,-82.5134,0a
45.8605,-82.5004,0a
45.8606,-82.4874,0a
45.8515,-82.4873,0a
45.8425,-82.4872,0a
45.8426,-82.4742,0a
45.8336,-82.4741,0a
45.8335,-82.4871,0a
45.8245,-82.487,0a
45.8154,-82.4869,0a
45.8064,-82.4868,0a
45.8063,-82.4997,0a
45.7973,-82.4996,0a
45.7883,-82.4995,0a
45.7882,-82.5124,0a
45.7881,-82.5254,0a
45.7971,-82.5255,0a
45.8062,-82.5256,0a
45.8152,-82.5257,0a
45.8242,-82.5258,0a
45.8241,-82.5388,0a
45.824,-82.5518,0a
45.824,-82.5647,0a
45.833,-82.5648,0a
45.842,-82.565,0a
45.851,-82.5651,0a
45.851,-82.5781,0a
45.8509,-82.591,0a
45.8418,-82.5909,0a
45.8328,-82.5908,0a
45.8327,-82.6037,0a
45.8326,-82.6167,0a
45.8325,-82.6296,0a
45.8416,-82.6298,0a
45.8506,-82.6299,0a
45.8596,-82.63,0a
45.8595,-82.643,0a
45.8594,-82.656,0a
45.8684,-82.6561,0a
45.8683,-82.6691,0a
45.8593,-82.6689,0a
45.8592,-82.6819,0a
45.8591,-82.6948,0a
45.8501,-82.6947,0a
45.85,-82.7077,0a
45.841,-82.7075,0a
45.8409,-82.7205,0a
45.8407,-82.7334,0a
45.8498,-82.7336,0a
45.8497,-82.7465,0a
45.8587,-82.7467,0a
45.8677,-82.7469,0a
45.8767,-82.747,0a
45.8858,-82.7472,0a
45.8857,-82.7601,0a
45.8856,-82.7731,0a
45.8854,-82.7861,0a
45.8945,-82.7862,0a
45.8944,-82.7992,0a
45.9034,-82.7994,0a
45.9033,-82.8123,0a
45.9123,-82.8125,0a
45.9122,-82.8255,0a
45.9212,-82.8257,0a
45.9302,-82.8258,0a
45.9304,-82.8128,0a
45.9394,-82.813,0a
45.9395,-82.8,0a
45.9485,-82.8002,0a
45.9575,-82.8004,0a
45.9577,-82.7874,0a
45.9667,-82.7875,0a
45.9757,-82.7877,0a
45.9847,-82.7879,0a
45.9938,-82.788,0a
45.9937,-82.801,0a
45.9935,-82.814,0a
45.9934,-82.827,0a
45.9844,-82.8268,0a
45.9754,-82.8267,0a
45.9753,-82.8397,0a
45.9751,-82.8526,0a
45.9661,-82.8525,0a
45.966,-82.8655,0a
45.9659,-82.8784,0a
45.9657,-82.8914,0a
45.9656,-82.9044,0a
45.9655,-82.9174,0a
45.9565,-82.9172,0a
45.9563,-82.9302,0a
45.9473,-82.93,0a
45.9383,-82.9298,0a
45.9381,-82.9428,0a
45.9291,-82.9426,0a
45.929,-82.9556,0a
45.9289,-82.9686,0a
45.9287,-82.9816,0a
45.9377,-82.9818,0a
45.9468,-82.982,0a
45.9466,-82.9949,0a
45.9557,-82.9951,0a
45.9555,-83.0081,0a
45.9554,-83.0211,0a
45.9552,-83.0341,0a
45.9551,-83.0471,0a
45.9461,-83.0469,0a
45.9371,-83.0467,0a
45.9369,-83.0597,0a
45.9279,-83.0594,0a
45.9189,-83.0592,0a
45.9187,-83.0722,0a
45.9186,-83.0852,0a
45.9184,-83.0982,0a
45.9274,-83.0984,0a
45.9365,-83.0986,0a
45.9455,-83.0988,0a
45.9545,-83.099,0a
45.9544,-83.112,0a
45.9634,-83.1122,0a
45.9633,-83.1252,0a
45.9631,-83.1382,0a
45.9629,-83.1512,0a
45.9628,-83.1642,0a
45.9626,-83.1771,0a
45.9536,-83.1769,0a
45.9446,-83.1767,0a
45.9444,-83.1897,0a
45.9354,-83.1895,0a
45.9264,-83.1892,0a
45.9262,-83.2022,0a
45.9172,-83.202,0a
45.917,-83.2149,0a
45.908,-83.2147,0a
45.899,-83.2145,0a
45.8988,-83.2275,0a
45.8987,-83.2404,0a
45.8985,-83.2534,0a
45.9075,-83.2536,0a
45.9165,-83.2539,0a
45.9256,-83.2541,0a
45.9346,-83.2543,0a
45.9436,-83.2546,0a
45.9526,-83.2548,0a
45.9617,-83.2551,0a
45.9615,-83.268,0a
45.9613,-83.281,0a
45.9704,-83.2813,0a
45.9702,-83.2943,0a
45.9612,-83.294,0a
45.961,-83.307,0a
45.9608,-83.32,0a
45.9698,-83.3202,0a
45.9789,-83.3205,0a
45.9879,-83.3207,0a
45.9877,-83.3337,0a
45.9967,-83.334,0a
45.9966,-83.347,0a
45.9964,-83.36,0a
45.9874,-83.3597,0a
45.9872,-83.3727,0a
45.987,-83.3857,0a
45.9868,-83.3987,0a
45.9778,-83.3984,0a
45.9776,-83.4114,0a
45.9686,-83.4111,0a
45.9684,-83.4241,0a
45.9594,-83.4239,0a
45.9504,-83.4236,0a
45.9413,-83.4233,0a
45.9412,-83.4363,0a
45.941,-83.4493,0a
45.9319,-83.449,0a
45.9318,-83.462,0a
45.9227,-83.4617,0a
45.9137,-83.4615,0a
45.9047,-83.4612,0a
45.9045,-83.4742,0a
